Brand,Model,Engine_Type,Transmission,Driven_Kms,Price_In_Lakhs,Location,State,is_BH_series,Car_Age,is_top_trim
Maruti,New Wagon-R,Petrol,Auto,48779,3.67,Delhi,Delhi,0,5,1
Maruti,Baleno,Petrol,Manual,79496,5.85,Delhi,Delhi,0,3,1
Honda,City,Petrol,Manual,61854,3.67,Delhi,Delhi,0,10,0
Toyota,Corolla Altis,Petrol,Auto,47774,4.61,Delhi,Delhi,0,11,1
Skoda,SLAVIA,Petrol,Manual,41251,9.47,Delhi,Uttar Pradesh,0,3,1
Maruti,Swift,Petrol,Manual,17868,3.82,Delhi,Delhi,0,7,0
Renault,TRIBER,Petrol,Manual,43818,4.64,Delhi,Delhi,0,3,0
Hyundai,Elite i20,Petrol,Manual,38558,4.26,Delhi,Haryana,0,7,1
Renault,Kwid,Petrol,Manual,51538,2.13,Delhi,Uttar Pradesh,0,8,0
Maruti,Swift,Petrol,Manual,50139,3.92,Delhi,Delhi,0,6,0
Maruti,Celerio,Petrol,Manual,34524,3.89,Delhi,Delhi,0,2,0
Tata,TIGOR,CNG,Manual,60776,4.39,Delhi,Haryana,0,2,0
Mahindra,XUV300,Petrol,Manual,79875,5.1,Delhi,Delhi,0,5,0
Skoda,KUSHAQ,Petrol,Auto,39765,11.75,Delhi,Delhi,0,2,1
Hyundai,Verna,CNG,Manual,63998,5.66,Delhi,Haryana,0,8,0
Tata,ALTROZ,CNG,Manual,28096,6.54,Delhi,Delhi,0,0,1
Renault,Kwid,CNG,Manual,60102,2.61,Delhi,Delhi,0,5,0
Maruti,Ciaz,Petrol,Manual,58644,5.42,Delhi,Delhi,0,5,0
Hyundai,Grand i10,Petrol,Auto,72832,2.48,Delhi,Delhi,0,9,1
Mahindra,XUV700,Petrol,Manual,59885,11.71,Delhi,Delhi,0,3,0
Renault,TRIBER,Petrol,Manual,33532,3.68,Delhi,Haryana,0,6,0
Maruti,Baleno,Petrol,Auto,81033,4.3,Delhi,Haryana,0,7,1
Honda,City,Petrol,Manual,25409,4.69,Delhi,Haryana,0,8,0
KIA,SELTOS,Petrol,Auto,79439,8.25,Delhi,Delhi,0,5,1
Maruti,Baleno,Petrol,Manual,61526,3.65,Delhi,Delhi,0,7,0
MG,HECTOR,Petrol,Auto,67848,9.62,Delhi,Haryana,0,5,1
Hyundai,GRAND I10 NIOS,CNG,Manual,42137,5.08,Delhi,Haryana,0,2,1
Jeep,Compass,Petrol,Auto,64162,9.74,Delhi,Uttar Pradesh,0,5,1
Tata,ALTROZ,CNG,Manual,13325,6.23,Delhi,Delhi,0,2,1
Hyundai,GRAND I10 NIOS,Petrol,Manual,52609,4.28,Delhi,Haryana,0,2,0
KIA,SELTOS,Petrol,Auto,64647,8.3,Delhi,Haryana,0,4,0
Hyundai,VENUE,Petrol,Manual,9795,6.62,Delhi,Uttar Pradesh,0,4,0
Hyundai,Creta,Petrol,Auto,70973,5.67,Delhi,Delhi,0,8,1
MG,HECTOR,Petrol,Auto,90433,7.92,Delhi,Haryana,0,6,1
Maruti,Swift,Petrol,Manual,77176,3.85,Delhi,Delhi,0,5,0
Ford,Ecosport,CNG,Manual,51286,3.9,Delhi,Delhi,0,9,0
MG,HECTOR,Diesel,Manual,92952,7.58,Delhi,Uttar Pradesh,0,6,0
Volkswagen,Other,Petrol,Auto,80115,11.9,Delhi,Delhi,0,3,1
Hyundai,Grand i10,Petrol,Manual,33268,2.72,Delhi,Delhi,0,11,1
Maruti,Baleno,Petrol,Manual,32115,3.04,Delhi,Haryana,0,9,0
Toyota,Etios,Petrol,Manual,70549,2.63,Delhi,Delhi,0,10,0
Honda,BR-V,Petrol,Manual,53741,4.25,Delhi,Uttar Pradesh,0,9,0
Tata,NEXON,Petrol,Auto,77853,4.54,Delhi,Haryana,0,6,1
Renault,Kwid,Petrol,Manual,47496,1.86,Delhi,Uttar Pradesh,0,7,0
Maruti,Celerio,Petrol,Manual,59623,2.55,Delhi,Delhi,0,8,0
Tata,TIGOR,Petrol,Manual,56510,2.73,Delhi,Haryana,0,8,0
Hyundai,Grand i10,Petrol,Manual,42228,2.92,Delhi,Haryana,0,7,0
Maruti,Baleno,Petrol,Manual,58660,3.15,Delhi,Delhi,0,8,0
Tata,TIGOR,CNG,Manual,48712,5.68,Delhi,Uttar Pradesh,0,3,1
Maruti,Swift,Petrol,Manual,105004,2.12,Delhi,Delhi,0,10,0
Hyundai,Creta,Petrol,Manual,56224,4.98,Delhi,Haryana,0,8,1
Mahindra,Other,Petrol,Auto,11056,7.74,Delhi,Delhi,0,1,1
